station_id,state,city,station_name,timestamp,datetime,at_c,rh_percent,ws_m_s,wd_deg,rf_mm,tot_rf_mm,sr_w_mt2,bp_mmhg,vws_m_s,pollutant,value,station,hour
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,,,,,,0.0,,,,no2,21.66,"Aya Nagar, Delhi - IMD",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,10.2,87.0,0.3,27.0,,0.0,5.0,742.0,,pm10,406.0,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,10.2,87.0,0.3,27.0,,0.0,5.0,742.0,,no2,59.1,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,10.2,87.0,0.3,27.0,,0.0,5.0,742.0,,no,48.5,"Anand Vihar, Delhi - DPCC",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,10.2,87.0,0.3,27.0,,0.0,5.0,742.0,,nh3,40.7,"Anand Vihar, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,,,,,,0.0,,,,co,2.92,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,,,,,,0.0,,,,no,53.69,"Aya Nagar, Delhi - IMD",0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,10.2,87.0,0.3,27.0,,0.0,5.0,742.0,,ozone,16.7,"Anand Vihar, Delhi - DPCC",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,,,,,,0.0,,,,ozone,6.81,"Aya Nagar, Delhi - IMD",0
site_108,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00,,,,,,0.0,,,,pm25,221.9,"Aya Nagar, Delhi - IMD",0
